section,order,component,details
evidence_core,1,Identity and event type,evidence_id; event_id; event_type
evidence_core,2,Time and origin,occurred_at; emitted_at; time_source
evidence_core,3,Operational context,actor (conditional); emitter; purpose; outcome
evidence_core,4,Biomedical accountability,pseudonymous subject; object bindings; event_facts
evidence_core,5,Governance bindings,policy and consent when required
evidence_core,6,Minimisation and binding,privacy profile; optional payload commitment; emitter signature
backend_receipt,1,Log identity,backend_id; log_id; receipt/hash/tree profiles
backend_receipt,2,Inclusion binding,core/leaf digest; index; size; root; inline proof
backend_receipt,3,Receipt authenticity,proof digest; issued_at; signer key; receipt signature
retained,1,Retained,event/accountability metadata and cryptographic bindings
excluded,1,Excluded,raw samples; physiological values; unrestricted payloads
excluded,2,Excluded,direct identifiers; email addresses; local infrastructure paths
withheld,1,Withheld authorised side,payload bytes and random nonce for later commitment checking
