run_id,query_id,backend_id,workload_id,query_type,latency_ms,result_count,status,error_code,started_ns,ended_ns
W1-A1-memory-R01,W1-A1-memory-R01-Q1,A1-memory,W1,count-by-run,0.000100,15,ok,,698211106001,698211106101
W1-A1-memory-R02,W1-A1-memory-R02-Q1,A1-memory,W1,count-by-run,0.000150,15,ok,,698213666721,698213666871
W1-A2-merkle-R01,W1-A2-merkle-R01-Q1,A2-merkle,W1,count-by-run,0.000050,15,ok,,698217789133,698217789183
W1-A2-merkle-R02,W1-A2-merkle-R02-Q1,A2-merkle,W1,count-by-run,0.000101,15,ok,,698221400045,698221400146
W2-A1-memory-R01,W2-A1-memory-R01-Q1,A1-memory,W2,count-by-run,0.000070,28,ok,,698225690071,698225690141
W2-A1-memory-R02,W2-A1-memory-R02-Q1,A1-memory,W2,count-by-run,0.000060,28,ok,,698229919986,698229920046
W2-A2-merkle-R01,W2-A2-merkle-R01-Q1,A2-merkle,W2,count-by-run,0.000070,28,ok,,698237856788,698237856858
W2-A2-merkle-R02,W2-A2-merkle-R02-Q1,A2-merkle,W2,count-by-run,0.000080,28,ok,,698245522861,698245522941
W3-A1-memory-R01,W3-A1-memory-R01-Q1,A1-memory,W3,count-by-run,0.000060,29,ok,,698250021591,698250021651
W3-A1-memory-R02,W3-A1-memory-R02-Q1,A1-memory,W3,count-by-run,0.000080,29,ok,,698254494372,698254494452
W3-A2-merkle-R01,W3-A2-merkle-R01-Q1,A2-merkle,W3,count-by-run,0.000070,29,ok,,698262824286,698262824356
W3-A2-merkle-R02,W3-A2-merkle-R02-Q1,A2-merkle,W3,count-by-run,0.000160,29,ok,,698270952416,698270952576
W4-A1-memory-R01,W4-A1-memory-R01-Q1,A1-memory,W4,count-by-run,0.000060,51,ok,,698278726773,698278726833
W4-A1-memory-R02,W4-A1-memory-R02-Q1,A1-memory,W4,count-by-run,0.000070,51,ok,,698286479417,698286479487
W4-A2-merkle-R01,W4-A2-merkle-R01-Q1,A2-merkle,W4,count-by-run,0.000080,51,ok,,698304363179,698304363259
W4-A2-merkle-R02,W4-A2-merkle-R02-Q1,A2-merkle,W4,count-by-run,0.000080,51,ok,,698322524570,698322524650
W5-A1-memory-R01,W5-A1-memory-R01-Q1,A1-memory,W5,count-by-run,0.000050,28,ok,,698326824040,698326824090
W5-A1-memory-R02,W5-A1-memory-R02-Q1,A1-memory,W5,count-by-run,0.000060,28,ok,,698331034476,698331034536
W5-A2-merkle-R01,W5-A2-merkle-R01-Q1,A2-merkle,W5,count-by-run,0.000070,28,ok,,698338766038,698338766108
W5-A2-merkle-R02,W5-A2-merkle-R02-Q1,A2-merkle,W5,count-by-run,0.000090,28,ok,,698346170477,698346170567
