run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W1-A1-memory-R01,0,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,1,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,2,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,3,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,4,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,5,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,6,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,7,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,8,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,9,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,10,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,11,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,12,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,13,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R01,14,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,0,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,1,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,2,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,3,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,4,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,5,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,6,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,7,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,8,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,9,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,10,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,11,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,12,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,13,A1-memory,none,0,0.000000,ok,
W1-A1-memory-R02,14,A1-memory,none,0,0.000000,ok,
W1-A2-merkle-R01,0,A2-merkle,inclusion,165,0.019869,ok,
W1-A2-merkle-R01,1,A2-merkle,inclusion,233,0.011467,ok,
W1-A2-merkle-R01,2,A2-merkle,inclusion,233,0.008973,ok,
W1-A2-merkle-R01,3,A2-merkle,inclusion,302,0.015563,ok,
W1-A2-merkle-R01,4,A2-merkle,inclusion,233,0.008132,ok,
W1-A2-merkle-R01,5,A2-merkle,inclusion,302,0.010245,ok,
