run_id,event_index,workload_id,backend_id,repetition,seed,latency_ms,status,error_code,artefact_bytes,receipt_bytes,started_ns,ended_ns
W1-A1-memory-R01,0,W1,A1-memory,1,20260001,0.126090,ok,,1025,433,698207447588,698207573678
W1-A1-memory-R01,1,W1,A1-memory,1,20260001,0.086461,ok,,1023,433,698207688270,698207774731
W1-A1-memory-R01,2,W1,A1-memory,1,20260001,0.078489,ok,,1023,433,698207876073,698207954562
W1-A1-memory-R01,3,W1,A1-memory,1,20260001,0.078418,ok,,1023,433,698208032289,698208110707
W1-A1-memory-R01,4,W1,A1-memory,1,20260001,0.101042,ok,,1023,433,698208184749,698208285791
W1-A1-memory-R01,5,W1,A1-memory,1,20260001,0.075954,ok,,1025,433,698208367875,698208443829
W1-A1-memory-R01,6,W1,A1-memory,1,20260001,0.069976,ok,,1023,433,698208516989,698208586965
W1-A1-memory-R01,7,W1,A1-memory,1,20260001,0.071047,ok,,1023,433,698208661247,698208732294
W1-A1-memory-R01,8,W1,A1-memory,1,20260001,0.088964,ok,,1023,433,698208803581,698208892545
W1-A1-memory-R01,9,W1,A1-memory,1,20260001,0.219190,ok,,1023,433,698209987586,698210206776
W1-A1-memory-R01,10,W1,A1-memory,1,20260001,0.100131,ok,,1025,433,698210359506,698210459637
W1-A1-memory-R01,11,W1,A1-memory,1,20260001,0.085759,ok,,1023,433,698210558987,698210644746
W1-A1-memory-R01,12,W1,A1-memory,1,20260001,0.073190,ok,,1023,433,698210721662,698210794852
W1-A1-memory-R01,13,W1,A1-memory,1,20260001,0.074522,ok,,1023,433,698210869465,698210943987
W1-A1-memory-R01,14,W1,A1-memory,1,20260001,0.077086,ok,,1023,433,698211018580,698211095666
W1-A1-memory-R02,0,W1,A1-memory,2,20260002,0.086320,ok,,1025,433,698211279843,698211366163
W1-A1-memory-R02,1,W1,A1-memory,2,20260002,0.085739,ok,,1023,433,698211467196,698211552935
W1-A1-memory-R02,2,W1,A1-memory,2,20260002,0.074262,ok,,1023,433,698211638043,698211712305
W1-A1-memory-R02,3,W1,A1-memory,2,20260002,0.072620,ok,,1023,433,698211792746,698211865366
W1-A1-memory-R02,4,W1,A1-memory,2,20260002,0.073841,ok,,1023,433,698211946348,698212020189
W1-A1-memory-R02,5,W1,A1-memory,2,20260002,0.076355,ok,,1025,433,698212097125,698212173480
W1-A1-memory-R02,6,W1,A1-memory,2,20260002,0.151789,ok,,1023,433,698212250025,698212401814
W1-A1-memory-R02,7,W1,A1-memory,2,20260002,0.080702,ok,,1023,433,698212495225,698212575927
W1-A1-memory-R02,8,W1,A1-memory,2,20260002,0.073831,ok,,1023,433,698212665792,698212739623
W1-A1-memory-R02,9,W1,A1-memory,2,20260002,0.069224,ok,,1023,433,698212812333,698212881557
W1-A1-memory-R02,10,W1,A1-memory,2,20260002,0.070035,ok,,1025,433,698212954337,698213024372
