run_id,workload_id,backend_id,repetition,seed,accepted_events,invalid_events,analysed_duration_s,throughput_eps,status,exclusion_reason
W1-A1-memory-R01,W1,A1-memory,1,20260001,15,0,0.003988471,3760.839680,ok,
W1-A1-memory-R02,W1,A1-memory,2,20260002,15,0,0.002480658,6046.782749,ok,
W1-A2-merkle-R01,W1,A2-merkle,1,20260001,15,0,0.004057204,3697.127381,ok,
W1-A2-merkle-R02,W1,A2-merkle,2,20260002,15,0,0.003549289,4226.198543,ok,
W2-A1-memory-R01,W2,A1-memory,1,20260001,28,0,0.004239289,6604.881149,ok,
W2-A1-memory-R02,W2,A1-memory,2,20260002,28,0,0.004183315,6693.256425,ok,
W2-A2-merkle-R01,W2,A2-merkle,1,20260001,28,0,0.007889671,3548.943929,ok,
W2-A2-merkle-R02,W2,A2-merkle,2,20260002,28,0,0.007606664,3680.982886,ok,
W3-A1-memory-R01,W3,A1-memory,1,20260001,29,0,0.004442736,6527.509175,ok,
W3-A1-memory-R02,W3,A1-memory,2,20260002,29,0,0.004416125,6566.843103,ok,
W3-A2-merkle-R01,W3,A2-merkle,1,20260001,29,0,0.008280249,3502.310136,ok,
W3-A2-merkle-R02,W3,A2-merkle,2,20260002,29,0,0.008071695,3592.801760,ok,
W4-A1-memory-R01,W4,A1-memory,1,20260001,51,0,0.007712413,6612.716409,ok,
W4-A1-memory-R02,W4,A1-memory,2,20260002,51,0,0.007703420,6620.436118,ok,
W4-A2-merkle-R01,W4,A2-merkle,1,20260001,51,0,0.017834488,2859.627930,ok,
W4-A2-merkle-R02,W4,A2-merkle,2,20260002,51,0,0.018093759,2818.651448,ok,
W5-A1-memory-R01,W5,A1-memory,1,20260001,28,0,0.004226881,6624.269763,ok,
W5-A1-memory-R02,W5,A1-memory,2,20260002,28,0,0.004163214,6725.573079,ok,
W5-A2-merkle-R01,W5,A2-merkle,1,20260001,28,0,0.007682879,3644.467133,ok,
W5-A2-merkle-R02,W5,A2-merkle,2,20260002,28,0,0.007348866,3810.111655,ok,
