slot_id,workload_id,backend_id,metric_id,estimate,ci_low,ci_high,effect_vs_a1,effect_vs_a2,ci_method,evidence_class
W1-A1-memory-write_latency_ms_mean,W1,A1-memory,write_latency_ms_mean,0.087526,0.069070,0.170324,,,empirical-percentile,measured-local
W1-A2-merkle-write_latency_ms_mean,W1,A2-merkle,write_latency_ms_mean,0.137894,0.092712,0.199086,,,empirical-percentile,measured-local
W2-A1-memory-write_latency_ms_mean,W2,A1-memory,write_latency_ms_mean,0.074673,0.067767,0.102745,,,empirical-percentile,measured-local
W2-A2-merkle-write_latency_ms_mean,W2,A2-merkle,write_latency_ms_mean,0.177402,0.088388,0.284055,,,empirical-percentile,measured-local
W3-A1-memory-write_latency_ms_mean,W3,A1-memory,write_latency_ms_mean,0.073077,0.067230,0.084398,,,empirical-percentile,measured-local
W3-A2-merkle-write_latency_ms_mean,W3,A2-merkle,write_latency_ms_mean,0.183212,0.095220,0.273946,,,empirical-percentile,measured-local
W4-A1-memory-write_latency_ms_mean,W4,A1-memory,write_latency_ms_mean,0.074487,0.067608,0.093591,,,empirical-percentile,measured-local
W4-A2-merkle-write_latency_ms_mean,W4,A2-merkle,write_latency_ms_mean,0.251187,0.090199,0.416542,,,empirical-percentile,measured-local
W5-A1-memory-write_latency_ms_mean,W5,A1-memory,write_latency_ms_mean,0.073042,0.067907,0.087380,,,empirical-percentile,measured-local
W5-A2-merkle-write_latency_ms_mean,W5,A2-merkle,write_latency_ms_mean,0.173058,0.089544,0.277685,,,empirical-percentile,measured-local
W1-A1-memory-throughput_eps_mean,W1,A1-memory,throughput_eps_mean,4903.811214,3817.988257,5989.634172,,,empirical-percentile,measured-local
W1-A2-merkle-throughput_eps_mean,W1,A2-merkle,throughput_eps_mean,3961.662962,3710.354160,4212.971764,,,empirical-percentile,measured-local
W2-A1-memory-throughput_eps_mean,W2,A1-memory,throughput_eps_mean,6649.068787,6607.090531,6691.047043,,,empirical-percentile,measured-local
W2-A2-merkle-throughput_eps_mean,W2,A2-merkle,throughput_eps_mean,3614.963407,3552.244903,3677.681912,,,empirical-percentile,measured-local
W3-A1-memory-throughput_eps_mean,W3,A1-memory,throughput_eps_mean,6547.176139,6528.492523,6565.859755,,,empirical-percentile,measured-local
W3-A2-merkle-throughput_eps_mean,W3,A2-merkle,throughput_eps_mean,3547.555948,3504.572427,3590.539469,,,empirical-percentile,measured-local
W4-A1-memory-throughput_eps_mean,W4,A1-memory,throughput_eps_mean,6616.576263,6612.909402,6620.243125,,,empirical-percentile,measured-local
W4-A2-merkle-throughput_eps_mean,W4,A2-merkle,throughput_eps_mean,2839.139689,2819.675860,2858.603518,,,empirical-percentile,measured-local
W5-A1-memory-throughput_eps_mean,W5,A1-memory,throughput_eps_mean,6674.921421,6626.802346,6723.040496,,,empirical-percentile,measured-local
