run_id,backend_id,workload_id,event_count,total_storage_bytes,artefact_bytes,backend_bytes,proof_bytes,snapshot_ns
W1-A1-memory-R01,A1-memory,W1,15,21846,15351,6495,0,698211101765
W1-A1-memory-R02,A1-memory,W1,15,21846,15351,6495,0,698213662704
W1-A2-merkle-R01,A2-merkle,W1,15,29578,15351,9823,4404,698217786980
W1-A2-merkle-R02,A2-merkle,W1,15,29578,15351,9823,4404,698221391803
W2-A1-memory-R01,A1-memory,W2,28,40780,28656,12124,0,698225687868
W2-A1-memory-R02,A1-memory,W2,28,40780,28656,12124,0,698229918093
W2-A2-merkle-R01,A2-merkle,W2,28,56105,28656,18403,9046,698237854414
W2-A2-merkle-R02,A2-merkle,W2,28,56105,28656,18403,9046,698245520177
W3-A1-memory-R01,A1-memory,W3,29,42236,29679,12557,0,698250019208
W3-A1-memory-R02,A1-memory,W3,29,42236,29679,12557,0,698254491848
W3-A2-merkle-R01,A2-merkle,W3,29,58161,29679,19063,9419,698262821792
W3-A2-merkle-R02,A2-merkle,W3,29,58161,29679,19063,9419,698270950223
W4-A1-memory-R01,A1-memory,W4,51,74278,52195,22083,0,698278724519
W4-A1-memory-R02,A1-memory,W4,51,74278,52195,22083,0,698286477454
W4-A2-merkle-R01,A2-merkle,W4,51,103610,52195,33583,17832,698304361096
W4-A2-merkle-R02,A2-merkle,W4,51,103610,52195,33583,17832,698322522117
W5-A1-memory-R01,A1-memory,W5,28,40780,28656,12124,0,698326821777
W5-A1-memory-R02,A1-memory,W5,28,40780,28656,12124,0,698331032412
W5-A2-merkle-R01,A2-merkle,W5,28,56105,28656,18403,9046,698338763594
W5-A2-merkle-R02,A2-merkle,W5,28,56105,28656,18403,9046,698346168284
