run_id,workload_id,paired_block_id,seed,baseline_order,comparison,run_duration_increment_ms,m7_p50_increment_ms,m7_p95_increment_ms,m7_p99_increment_ms,total_application_bytes_increment,storage_proxy_bytes_increment
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R001,2026172306,B0>B2>B1,B1-B0,274.692057000,1.958412000,2.040192000,2.179625000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R001,2026172306,B0>B2>B1,B2-B1,913.862332000,7.069079000,7.301330000,7.395090000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R001,2026172306,B0>B2>B1,B2-B0,1188.554389000,9.027491000,9.341522000,9.574715000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R002,2026172307,B0>B1>B2,B1-B0,272.271486000,1.949669000,2.011672000,2.075503000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R002,2026172307,B0>B1>B2,B2-B1,907.608843000,7.012213000,7.248817000,7.564987000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R002,2026172307,B0>B1>B2,B2-B0,1179.880329000,8.961882000,9.260489000,9.640490000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R003,2026172308,B0>B2>B1,B1-B0,276.844126000,1.971575000,2.018155000,2.056200000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R003,2026172308,B0>B2>B1,B2-B1,907.980215000,7.029177000,7.263069000,7.454902000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R003,2026172308,B0>B2>B1,B2-B0,1184.824341000,9.000752000,9.281224000,9.511102000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R004,2026172309,B0>B2>B1,B1-B0,277.485814000,1.976297000,2.038855000,2.119956000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R004,2026172309,B0>B2>B1,B2-B1,906.220837000,7.042204000,7.241265000,7.274592000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R004,2026172309,B0>B2>B1,B2-B0,1183.706651000,9.018501000,9.280120000,9.394548000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R005,2026172310,B2>B1>B0,B1-B0,277.554701000,1.977766000,2.047527000,2.166523000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R005,2026172310,B2>B1>B0,B2-B1,946.299887000,7.341038000,7.506760000,7.522422000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R005,2026172310,B2>B1>B0,B2-B0,1223.854588000,9.318804000,9.554287000,9.688945000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R006,2026172311,B1>B2>B0,B1-B0,278.267292000,1.966582000,2.054947000,2.214892000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R006,2026172311,B1>B2>B0,B2-B1,930.663568000,7.211935000,7.392279000,8.018971000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R006,2026172311,B1>B2>B0,B2-B0,1208.930860000,9.178517000,9.447226000,10.233863000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R007,2026172312,B0>B2>B1,B1-B0,275.591121000,1.965800000,2.010101000,2.164874000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R007,2026172312,B0>B2>B1,B2-B1,922.757856000,7.144649000,7.356343000,7.419551000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R007,2026172312,B0>B2>B1,B2-B0,1198.348977000,9.110449000,9.366444000,9.584425000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R008,2026172313,B0>B1>B2,B1-B0,276.038588000,1.957387000,2.040482000,2.191362000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R008,2026172313,B0>B1>B2,B2-B1,904.397948000,7.019586000,7.228913000,7.102688000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R008,2026172313,B0>B1>B2,B2-B0,1180.436536000,8.976973000,9.269395000,9.294050000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R009,2026172314,B1>B0>B2,B1-B0,280.996635000,2.018561000,2.072843000,2.046847000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R009,2026172314,B1>B0>B2,B2-B1,903.427057000,6.988840000,7.198299000,8.044025000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R009,2026172314,B1>B0>B2,B2-B0,1184.423692000,9.007401000,9.271142000,10.090872000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R010,2026172315,B1>B0>B2,B1-B0,278.872143000,1.985484000,2.057905000,2.209554000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R010,2026172315,B1>B0>B2,B2-B1,909.180359000,7.057305000,7.246788000,7.700979000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R010,2026172315,B1>B0>B2,B2-B0,1188.052502000,9.042789000,9.304693000,9.910533000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R011,2026172316,B1>B0>B2,B1-B0,275.953857000,1.970371000,2.040094000,2.060804000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R011,2026172316,B1>B0>B2,B2-B1,918.321401000,7.081336000,7.385839000,8.210833000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R011,2026172316,B1>B0>B2,B2-B0,1194.275258000,9.051707000,9.425933000,10.271637000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R012,2026172317,B0>B2>B1,B1-B0,276.336235000,1.974900000,2.022345000,2.034065000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R012,2026172317,B0>B2>B1,B2-B1,939.475574000,7.121663000,7.934908000,11.293380000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R012,2026172317,B0>B2>B1,B2-B0,1215.811809000,9.096563000,9.957253000,13.327445000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R013,2026172318,B1>B2>B0,B1-B0,275.741719000,1.978256000,1.958373000,2.068202000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R013,2026172318,B1>B2>B0,B2-B1,915.765426000,7.040268000,7.273175000,8.593966000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R013,2026172318,B1>B2>B0,B2-B0,1191.507145000,9.018524000,9.231548000,10.662168000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R014,2026172319,B0>B1>B2,B1-B0,273.632462000,1.945177000,2.033146000,2.206292000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R014,2026172319,B0>B1>B2,B2-B1,903.367800000,7.011901000,7.177199000,7.098446000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R014,2026172319,B0>B1>B2,B2-B0,1177.000262000,8.957078000,9.210345000,9.304738000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R015,2026172320,B1>B0>B2,B1-B0,275.264156000,1.964586000,2.032075000,2.035666000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R015,2026172320,B1>B0>B2,B2-B1,919.506232000,7.113223000,7.283296000,7.656730000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R015,2026172320,B1>B0>B2,B2-B0,1194.770388000,9.077809000,9.315371000,9.692396000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R016,2026172321,B1>B2>B0,B1-B0,275.421578000,1.965583000,2.015684000,2.172139000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R016,2026172321,B1>B2>B0,B2-B1,910.940395000,7.062591000,7.282914000,7.475669000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R016,2026172321,B1>B2>B0,B2-B0,1186.361973000,9.028174000,9.298598000,9.647808000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R017,2026172322,B1>B0>B2,B1-B0,280.381166000,2.014349000,2.053997000,1.973001000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R017,2026172322,B1>B0>B2,B2-B1,904.435767000,6.999448000,7.198699000,7.449810000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R017,2026172322,B1>B0>B2,B2-B0,1184.816933000,9.013797000,9.252696000,9.422811000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R018,2026172323,B0>B1>B2,B1-B0,270.977185000,1.948195000,1.968732000,1.897152000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R018,2026172323,B0>B1>B2,B2-B1,913.242416000,7.049072000,7.240273000,7.600742000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R018,2026172323,B0>B1>B2,B2-B0,1184.219601000,8.997267000,9.209005000,9.497894000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R019,2026172324,B1>B0>B2,B1-B0,282.229732000,2.018785000,2.073538000,2.207529000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R019,2026172324,B1>B0>B2,B2-B1,921.947968000,7.040824000,7.612308000,8.941550000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R019,2026172324,B1>B0>B2,B2-B0,1204.177700000,9.059609000,9.685846000,11.149079000,16205,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R020,2026172325,B0>B1>B2,B1-B0,275.785656000,1.957720000,2.033011000,2.137956000,11858,0
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R020,2026172325,B0>B1>B2,B2-B1,908.423199000,7.030720000,7.224605000,8.260883000,4347,215339
route-c-hie-overhead-001,W1-HIE-DISCLOSURE,R020,2026172325,B0>B1>B2,B2-B0,1184.208855000,8.988440000,9.257616000,10.398839000,16205,215339
