fixture,event_type,deleted_path,field_class,expected_outcome,observed_outcome,primary_error_code,classification,passed
access_event,access-event,envelope_version,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,profile,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.evidence_id,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.event_id,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.event_type,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.occurred_at,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.emitted_at,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.time_source,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.emitter,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.subject_context,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.objects,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.purpose_code,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.outcome,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.privacy_profile,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.event_facts,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.emitter_signature,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
access_event,access-event,evidence_core.actor,common-or-conditional,rejected,rejected,TE-E-SCHEMA-BRANCH,required-or-conditional,true
access_event,access-event,evidence_core.policy_binding,common-or-conditional,rejected,rejected,TE-E-SCHEMA-BRANCH,required-or-conditional,true
access_event,access-event,evidence_core.event_facts.action_code,event-specific,rejected,rejected,TE-E-SCHEMA-BRANCH,required-or-conditional,true
access_event,access-event,evidence_core.event_facts.decision_source_code,event-specific,rejected,rejected,TE-E-SCHEMA-BRANCH,required-or-conditional,true
aggregation_event,aggregation-event,envelope_version,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,profile,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.evidence_id,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.event_id,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.event_type,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.occurred_at,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.emitted_at,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.time_source,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.emitter,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.subject_context,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.objects,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.purpose_code,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.outcome,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.privacy_profile,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
aggregation_event,aggregation-event,evidence_core.event_facts,common-or-conditional,rejected,rejected,TE-E-SCHEMA-REQUIRED,required-or-conditional,true
