file,sha256,size_bytes,row_count,evidence_class
anomaly_log.csv,57dccab0afbaff901754ffafc326832c967bef47d6e1bdd775bc586e03e6fbc3,85,0,schema-only
audit_query_measurements.csv,f7e4f5c6baa8372a0a05317032a5060bed2afe7fdb70fbd7b02a4eabf587b320,1193,10,measured-local
hardware_software_disclosure.csv,518edc7f58d44a7ae7798a18dbb5a14724e3d359014cee568b245fceeeaa37d9,179,4,measured-local
planned_runs.csv,e5e367702901fc38771d4ae23fb74ef841447b1a2aa18878bfe39d7ce42926f8,734,10,measured-local
proof_measurements.csv,7049ab7c6e44e0a104d4ed3edac6aaaa07810e1aa90351f0e972a724bf427527,16457,302,measured-local
raw_write_measurements.csv,e18713dd9a6b84b1145d7a7b18a744e128e3796dbcd16cc111a5088bbb2a8c53,28727,302,measured-local
run_summary.csv,6e0b8e3f57b20dd482514f786bfc9673f4632bbb5825287279642cec9f418167,887,10,measured-local
service_preflight.csv,a6861b70ddcf50aa57c6144eeaeba055472edbd028654866ca0704f49e3a4672,187,1,measured-local
statistical_summary.csv,044c1b70acd952e40b85130433cf83b1cb0a26d18059bddca97d05eb91dccb1c,6290,40,measured-local
storage_snapshots.csv,b4e8ad978be4055a9ce4d3966d90de4aca05bc019bfe465b36adf23227f09e00,811,10,measured-local
