slot_id,workload_id,backend_id,metric_id,estimate,ci_low,ci_high,effect_vs_a1,effect_vs_a2,ci_method,evidence_class
W1-A1-memory-write_latency_ms_mean,W1,A1-memory,write_latency_ms_mean,0.095127,0.070297,0.159916,,,empirical-percentile,measured-local
W1-A2-merkle-write_latency_ms_mean,W1,A2-merkle,write_latency_ms_mean,0.159580,0.105949,0.332120,,,empirical-percentile,measured-local
W2-A1-memory-write_latency_ms_mean,W2,A1-memory,write_latency_ms_mean,0.074420,0.069341,0.089807,,,empirical-percentile,measured-local
W2-A2-merkle-write_latency_ms_mean,W2,A2-merkle,write_latency_ms_mean,0.174528,0.096717,0.260900,,,empirical-percentile,measured-local
W3-A1-memory-write_latency_ms_mean,W3,A1-memory,write_latency_ms_mean,0.075717,0.070704,0.091151,,,empirical-percentile,measured-local
W3-A2-merkle-write_latency_ms_mean,W3,A2-merkle,write_latency_ms_mean,0.183893,0.103058,0.277140,,,empirical-percentile,measured-local
W4-A1-memory-write_latency_ms_mean,W4,A1-memory,write_latency_ms_mean,0.074336,0.069736,0.091362,,,empirical-percentile,measured-local
W4-A2-merkle-write_latency_ms_mean,W4,A2-merkle,write_latency_ms_mean,0.253983,0.101978,0.427436,,,empirical-percentile,measured-local
W5-A1-memory-write_latency_ms_mean,W5,A1-memory,write_latency_ms_mean,0.073675,0.068728,0.084295,,,empirical-percentile,measured-local
W5-A2-merkle-write_latency_ms_mean,W5,A2-merkle,write_latency_ms_mean,0.179676,0.094586,0.266575,,,empirical-percentile,measured-local
W1-A1-memory-throughput_eps_mean,W1,A1-memory,throughput_eps_mean,4650.701326,4650.701326,4650.701326,,,empirical-percentile,measured-local
W1-A2-merkle-throughput_eps_mean,W1,A2-merkle,throughput_eps_mean,3712.848312,3712.848312,3712.848312,,,empirical-percentile,measured-local
W2-A1-memory-throughput_eps_mean,W2,A1-memory,throughput_eps_mean,6577.571889,6577.571889,6577.571889,,,empirical-percentile,measured-local
W2-A2-merkle-throughput_eps_mean,W2,A2-merkle,throughput_eps_mean,3611.046915,3611.046915,3611.046915,,,empirical-percentile,measured-local
W3-A1-memory-throughput_eps_mean,W3,A1-memory,throughput_eps_mean,6356.752340,6356.752340,6356.752340,,,empirical-percentile,measured-local
W3-A2-merkle-throughput_eps_mean,W3,A2-merkle,throughput_eps_mean,3436.744990,3436.744990,3436.744990,,,empirical-percentile,measured-local
W4-A1-memory-throughput_eps_mean,W4,A1-memory,throughput_eps_mean,6592.356589,6592.356589,6592.356589,,,empirical-percentile,measured-local
W4-A2-merkle-throughput_eps_mean,W4,A2-merkle,throughput_eps_mean,2777.502599,2777.502599,2777.502599,,,empirical-percentile,measured-local
W5-A1-memory-throughput_eps_mean,W5,A1-memory,throughput_eps_mean,6582.855939,6582.855939,6582.855939,,,empirical-percentile,measured-local
W5-A2-merkle-throughput_eps_mean,W5,A2-merkle,throughput_eps_mean,3504.173909,3504.173909,3504.173909,,,empirical-percentile,measured-local
W1-A1-memory-storage_total_bytes_mean,W1,A1-memory,storage_total_bytes_mean,21921.000000,21921.000000,21921.000000,,,empirical-percentile,measured-local
W1-A2-merkle-storage_total_bytes_mean,W1,A2-merkle,storage_total_bytes_mean,29653.000000,29653.000000,29653.000000,,,empirical-percentile,measured-local
W2-A1-memory-storage_total_bytes_mean,W2,A1-memory,storage_total_bytes_mean,40920.000000,40920.000000,40920.000000,,,empirical-percentile,measured-local
W2-A2-merkle-storage_total_bytes_mean,W2,A2-merkle,storage_total_bytes_mean,56245.000000,56245.000000,56245.000000,,,empirical-percentile,measured-local
W3-A1-memory-storage_total_bytes_mean,W3,A1-memory,storage_total_bytes_mean,42381.000000,42381.000000,42381.000000,,,empirical-percentile,measured-local
W3-A2-merkle-storage_total_bytes_mean,W3,A2-merkle,storage_total_bytes_mean,58306.000000,58306.000000,58306.000000,,,empirical-percentile,measured-local
